id,description,part_category,part_family_id,part_family_description,supplier,supplier_id,crm_supplier_id,supplier_address_id
ABC-710-D4C518B0,"Wire, Thin 43K Ohm",Assembly,12C6FC06C9,Accessory,,,,
ABC-710-FDE2A4C6,"Wire, Thin 43K Ohm",Assembly,12C6FC06C9,Accessory,,,,
ABC-735-3044D692,"Faceplate, 27.987 - SK8",Assembly,12C6FC06C9,Accessory,,,,
ABC-910-3359D4EA,"Wire, Thick 243K Ohm",Assembly,12C6FC06C9,Accessory,,,,
ABC-910-3412CBA3,"Bolt, 19"" dim",Assembly,12C6FC06C9,Accessory,,,,
ABC-910-C0C20327,"Board, 1.987 - Cra8",Assembly,12C6FC06C9,Accessory,,,,
ABC-920-E667B536,"Wire, Thin 43K Ohm",Assembly,12C6FC06C9,Accessory,,,,
ABC-920-F5FF552B,"Heatsink, Thin 43K Ohm",Assembly,12C6FC06C9,Accessory,,,,
ABC-720-DAE6F640,"Board, 19"" dim",Assembly,5B384CE32D,Ares,,,,
ABC-745-47926045,"Bolt, 24.987 - Aba7",Assembly,5B384CE32D,Ares,,,,
ABC-745-8B283539,"Bolt, 6.3 % nevi3",Assembly,5B384CE32D,Ares,,,,
ABC-910-119B019B,"Bolt, 1.987 - Cra8",Assembly,5B384CE32D,Ares,,,,
ABC-910-71F976F3,"Bolt, 6.3 % nevi3",Assembly,5B384CE32D,Ares,,,,
ABC-910-CFBCB12B,"Meter, 3"" dim",Assembly,5B384CE32D,Ares,,,,
ABC-910-DF458CBC,"Bolt, 17.386 - Av2",Assembly,5B384CE32D,Ares,,,,
ABC-910-F457B219,"Screw, 14"" dim",Assembly,5B384CE32D,Ares,,,,
ABC-920-BB8B09AD,"Bolt, 1.987 - Cra8",Assembly,5B384CE32D,Ares,,,,
ABC-710-59E410C7,"Bolt, Macro 243K Ohm",Assembly,632667547E,Persephone,,,,
ABC-710-71F976F3,"Power Port, 3"" dim",Assembly,632667547E,Persephone,,,,
ABC-720-BD9E6D7E,"Power Port, 3"" dim",Assembly,632667547E,Persephone,,,,
ABC-735-B141888A,"Heatsink, 2"" dim",Assembly,632667547E,Persephone,,,,
ABC-745-36606A00,"Heatsink, Thick 243K Ohm",Assembly,632667547E,Persephone,,,,
ABC-745-A4D40FB8,"Bolt, 4"" dim",Assembly,632667547E,Persephone,,,,
ABC-745-E581AE8D,"Heatsink, 2"" dim",Assembly,632667547E,Persephone,,,,
ABC-910-416EA4A2,"Heatsink, 2"" dim",Assembly,632667547E,Persephone,,,,
ABC-910-78B029E9,"Power Port, 3"" dim",Assembly,632667547E,Persephone,,,,
ABC-910-9C74C720,"Bolt, 4"" dim",Assembly,632667547E,Persephone,,,,
ABC-910-BD9E6D7E,"Wire, 8.3 % nevi2",Assembly,632667547E,Persephone,,,,
ABC-910-C7A06415,"Meter, 7"" dim",Assembly,632667547E,Persephone,,,,
ABC-910-F8E322EC,"Heatsink, 2"" dim",Assembly,632667547E,Persephone,,,,
ABC-920-71F976F3,"Wire, 14"" dim",Assembly,632667547E,Persephone,,,,
ABC-920-CFBCB12B,"Heatsink, Thick 243K Ohm",Assembly,632667547E,Persephone,,,,
ABC-920-E6E58F5B,"Heatsink, 2"" dim",Assembly,632667547E,Persephone,,,,
ABC-069FD3A4-x,"Meter, 31.97 - Be1",Assembly,77DE68DAEC,PCBA,,,,
ABC-720-7AA21476,"Meter, 31.97 - Be1",Assembly,77DE68DAEC,PCBA,,,,
ABC-720-F22C976B,"Nano Film, 14"" dim",Assembly,77DE68DAEC,PCBA,,,,
ABC-735-9B52731B,"Heatsink, 23"" dim",Assembly,77DE68DAEC,PCBA,,,,
ABC-745-D7A2A17C,"Wire, 6.3 % nevi3",Assembly,77DE68DAEC,PCBA,,,,
ABC-750-C7A06415,"Meter, 31.97 - Be1",Assembly,77DE68DAEC,PCBA,,,,
ABC-910-D4C518B0,"Cap, Thick 23K Ohm",Assembly,77DE68DAEC,PCBA,,,,
ABC-920-179FF2FE,"Meter, 31.97 - Be1",Assembly,77DE68DAEC,PCBA,,,,
ABC-720-8174355A,"Faceplate, 17.386 - Av2",Assembly,7B52009B64,Cronus,,,,
ABC-750-3474937B,"Bolt, Thick 243K Ohm",Assembly,7B52009B64,Cronus,,,,
ABC-910-7C660F15,"Faceplate, 17.386 - Av2",Assembly,7B52009B64,Cronus,,,,
ABC-910-84E221D9,"Nano Film, 23"" dim",Assembly,7B52009B64,Cronus,,,,
ABC-910-D780DC14,"Faceplate, 17.386 - Av2",Assembly,7B52009B64,Cronus,,,,
ABC-920-938E7CB0,"Faceplate, 17.386 - Av2",Assembly,7B52009B64,Cronus,,,,
ABC-710-1469E0D8,"Screw, Thick 23K Ohm",Assembly,91032AD7BB,Rhea,,,,
ABC-720-1AD38773,"Faceplate, Thin 43K Ohm",Assembly,91032AD7BB,Rhea,,,,
ABC-910-2134C5A4,"Board, 31.987 - Be1",Assembly,91032AD7BB,Rhea,,,,
ABC-750-5AFE5729,"Power Port, 4"" dim",Assembly,92CFCEB39D,Iris,,,,
ABC-910-13DBD7E3,"Nano Film, 8.3 % nevi2",Assembly,92CFCEB39D,Iris,,,,
ABC-910-D7A2A17C,"Cap, 5"" dim",Assembly,92CFCEB39D,Iris,,,,
ABC-920-1E771139,"Power Port, Thin 43K Ohm",Assembly,92CFCEB39D,Iris,,,,
ABC-920-B93E97FD,"Screw, 3"" dim",Assembly,92CFCEB39D,Iris,,,,
ABC-735-938E7CB0,"Cap, Thin 43K Ohm",Assembly,98FBC42FAE,Hera,,,,
ABC-745-3ADEFBD2,"Heatsink, 1.987 - Cra8",Assembly,98FBC42FAE,Hera,,,,
ABC-910-1AD38773,"Heatsink, Thick 23K Ohm",Assembly,98FBC42FAE,Hera,,,,
ABC-910-3474937B,"Meter, 24.987 - Aba7",Assembly,98FBC42FAE,Hera,,,,
ABC-910-4BEE170D,"Cap, Thin 43K Ohm",Assembly,98FBC42FAE,Hera,,,,
ABC-920-0B91566E,"Meter, 1.987 - Cra8",Assembly,98FBC42FAE,Hera,,,,
ABC-920-3474937B,"Faceplate, 2"" dim",Assembly,98FBC42FAE,Hera,,,,
ABC-920-5CDE39CF,"Nano Film, Macro 243K Ohm",Assembly,98FBC42FAE,Hera,,,,
ABC-920-70C1817F,"Meter, 24.987 - Aba7",Assembly,98FBC42FAE,Hera,,,,
ABC-735-C1260723,"Heatsink, Micro 3K Ohm",Assembly,B6692EA5DF,Dionysus,,,,
ABC-750-90AA4C70,"Bolt, 8.3 % nevi2",Assembly,B6692EA5DF,Dionysus,,,,
ABC-910-0B343F87,"Bolt, 8.3 % nevi2",Assembly,B6692EA5DF,Dionysus,,,,
ABC-710-CFBCB12B,"Nano Film, Thick 243K Ohm",Assembly,BD307A3EC3,Hephaestus,,,,
ABC-735-84E221D9,"Faceplate, 14"" dim",Assembly,BD307A3EC3,Hephaestus,,,,
ABC-910-98C5A824,"Meter, 31.987 - Be1",Assembly,BD307A3EC3,Hephaestus,,,,
ABC-920-44FD1DB5,"Meter, 31.987 - Be1",Assembly,BD307A3EC3,Hephaestus,,,,
