ID,Description,PartCategory,PartFamilyID,PartFamilyDescription,Supplier,SupplierID,CRMSupplierID,SupplierAddressID
ABC-000006-7BDF7681,"Faceplate, 27.987 - SK8",N/A,12C6FC06C9,Accessory,,,,
ABC-000006-87455062,"Faceplate, 27.987 - SK8",Component,12C6FC06C9,Accessory,Apex Manufacturing,1999239193,E0A08FB9AD,0001C68D52
ABC-000006-C44B3F8F,"Faceplate, 27.987 - SK8",Component,12C6FC06C9,Accessory,Sigmmund,891496558,6EEF664840,0001226520
ABC-000006-F9722A9A,"Faceplate, 27.987 - SK8",N/A,12C6FC06C9,Accessory,,,,
ABC-000006-x,"Faceplate, 27.987 - SK8",Component,12C6FC06C9,Accessory,Apoth,1208265366,B2BB54DA95,000AC95D3F
ABC-000035-x,"Heatsink, Thin 43K Ohm",N/A,12C6FC06C9,Accessory,,,,
ABC-000044-x,"Wire, Thin 43K Ohm",N/A,12C6FC06C9,Accessory,,,,
ABC-000053-3EDEA851,"Heatsink, 4"" dim",N/A,12C6FC06C9,Accessory,,,,
ABC-000053-7BDF7681,"Heatsink, 4"" dim",Component,12C6FC06C9,Accessory,Cesium Electronics,1490588195,B9CC46B098,000017E81E
ABC-000053-x,"Heatsink, 4"" dim",N/A,12C6FC06C9,Accessory,,,,
ABC-000057-x,"Wire, 1%sec",N/A,12C6FC06C9,Accessory,,,,
ABC-000087-24647271,"Board, 1.987 - Cra8",N/A,12C6FC06C9,Accessory,,,,
ABC-000088-24647271,"Bolt, 19"" dim",N/A,12C6FC06C9,Accessory,,,,
ABC-000147-221407C0,"Bolt, 19"" dim",N/A,12C6FC06C9,Accessory,,,,
ABC-000147-285157AC,"Bolt, 19"" dim",Component,12C6FC06C9,Accessory,Cavplum,628557130,2BAD762EAE,00000C24E6
ABC-000147-6FC978AF,"Bolt, 19"" dim",N/A,12C6FC06C9,Accessory,,,,
ABC-000147-C63528A5,"Bolt, 19"" dim",Component,12C6FC06C9,Accessory,Cavplum,628557130,2BAD762EAE,00000C24E6
ABC-000147-x,"Bolt, 19"" dim",N/A,12C6FC06C9,Accessory,,,,
ABC-000300-3EDEA851,"Screw, 2"" dim",Component,12C6FC06C9,Accessory,Electronica,481989692,EE2EF596E9,000FE1A50B
ABC-000300-7BDF7681,"Screw, 2"" dim",Component,12C6FC06C9,Accessory,Stimp Hardware,1277462715,6EEF664840,000036031A
ABC-000300-87455062,"Screw, 2"" dim",Component,12C6FC06C9,Accessory,Cavplum,628557130,2BAD762EAE,00000C24E6
ABC-000300-F9722A9A,"Screw, 2"" dim",Component,12C6FC06C9,Accessory,Hardware United,690386781,B5C20DC621,0003FAB478
ABC-100-9AF46316,"Heatsink, 4"" dim",N/A,12C6FC06C9,Accessory,,,,
ABC-100-ED82ABD4,"Wire, Thin 43K Ohm",N/A,12C6FC06C9,Accessory,,,,
ABC-110-0ED02142,"Bolt, 19"" dim",N/A,12C6FC06C9,Accessory,,,,
ABC-110-9276E73E,"Heatsink, 6.3 % nevi3",N/A,12C6FC06C9,Accessory,,,,
ABC-160-C634A167,"Heatsink, 6.3 % nevi3",N/A,12C6FC06C9,Accessory,,,,
ABC-180-B272F93B,"Meter, Macro 243K Ohm",N/A,12C6FC06C9,Accessory,,,,
ABC-190-24FB6BC9,"Heatsink, Thin 43K Ohm",N/A,12C6FC06C9,Accessory,,,,
ABC-210-271B23CC,"Screw, 2"" dim",N/A,12C6FC06C9,Accessory,,,,
ABC-210-32042A64,"Board, 1.987 - Cra8",N/A,12C6FC06C9,Accessory,,,,
ABC-210-39DF9E47,"Cap, 3"" dim",N/A,12C6FC06C9,Accessory,,,,
ABC-210-57DFA2A0,"Meter, Macro 243K Ohm",N/A,12C6FC06C9,Accessory,,,,
ABC-210-8A15CA25,"Meter, Macro 243K Ohm",N/A,12C6FC06C9,Accessory,,,,
ABC-210-D4C518B0,"Bolt, 19"" dim",N/A,12C6FC06C9,Accessory,,,,
ABC-220-179FF2FE,"Wire, Thin 43K Ohm",N/A,12C6FC06C9,Accessory,,,,
ABC-220-30977508,"Bolt, 19"" dim",N/A,12C6FC06C9,Accessory,,,,
ABC-220-491F7B07,"Board, 1.987 - Cra8",N/A,12C6FC06C9,Accessory,,,,
ABC-220-4B29DAB6,"Meter, Macro 243K Ohm",N/A,12C6FC06C9,Accessory,,,,
ABC-220-5ABC18B9,"Heatsink, Thin 43K Ohm",N/A,12C6FC06C9,Accessory,,,,
ABC-220-5DE8FAB1,"Heatsink, 4"" dim",N/A,12C6FC06C9,Accessory,,,,
ABC-220-7C660F15,"Meter, Macro 243K Ohm",N/A,12C6FC06C9,Accessory,,,,
ABC-220-7F459EBD,"Cap, 3"" dim",N/A,12C6FC06C9,Accessory,,,,
ABC-220-90AA4C70,"Board, 1.987 - Cra8",N/A,12C6FC06C9,Accessory,,,,
ABC-220-92822468,"Faceplate, 27.987 - SK8",N/A,12C6FC06C9,Accessory,,,,
ABC-220-938E7CB0,"Cap, 3"" dim",N/A,12C6FC06C9,Accessory,,,,
ABC-220-98586AFB,"Meter, Macro 243K Ohm",N/A,12C6FC06C9,Accessory,,,,
ABC-220-B87E9CED,"Bolt, 19"" dim",N/A,12C6FC06C9,Accessory,,,,
ABC-220-E660BD3E,"Board, 1.987 - Cra8",N/A,12C6FC06C9,Accessory,,,,
ABC-230-3359D4EA,"Heatsink, 6.3 % nevi3",N/A,12C6FC06C9,Accessory,,,,
